portal_id,portal_code,customer_id,client_id,country_prefix,member_created,member_updated,status,access_right_id,i18n,subject,action,child_id,parent_id,is_mobile,other_child
Bigint,string,Bigint,Bigint,string,Bigint,Bigint,Smallint,Bigint,string,string,string,Bigint,Bigint,Boolean,string
1,,0,0,84,0,0,1,168,AccessRights.mySanxe24.baseServices.delete,mySanxe24.baseServices,delete,60,3,FALSE,
1,,0,0,84,0,0,1,169,AccessRights.mySanxe24.baseServicesExtra.read,mySanxe24.baseServicesExtra,read,61,3,FALSE,
1,,0,0,84,0,0,1,170,AccessRights.mySanxe24.baseServicesExtra.create,mySanxe24.baseServicesExtra,create,61,3,FALSE,
1,,0,0,84,0,0,1,171,AccessRights.mySanxe24.baseServicesExtra.update,mySanxe24.baseServicesExtra,update,61,3,FALSE,
1,,0,0,84,0,0,1,172,AccessRights.mySanxe24.baseServicesExtra.delete,mySanxe24.baseServicesExtra,delete,61,3,FALSE,
1,,0,0,84,0,0,1,173,AccessRights.serviceProvider.serviceProviderManager.readall,serviceProvider.serviceProviderManager,readall,16,6,FALSE,
1,,0,0,84,0,0,1,174,AccessRights.serviceProvider.externalServices.readAll,serviceProvider.externalServices,readall,62,6,FALSE,
1,,0,0,84,0,0,1,175,AccessRights.serviceProvider.externalServices.read,serviceProvider.externalServices,read,62,6,FALSE,
1,,0,0,84,0,0,1,176,AccessRights.serviceProvider.externalServices.create,serviceProvider.externalServices,create,62,6,FALSE,
1,,0,0,84,0,0,1,177,AccessRights.serviceProvider.externalServices.update,serviceProvider.externalServices,update,62,6,FALSE,
1,,0,0,84,0,0,1,178,AccessRights.serviceProvider.externalServices.delete,serviceProvider.externalServices,delete,62,6,FALSE,
1,,0,0,84,0,0,1,179,AccessRights.requestProvider.requestProviderManager.readAll,requestProvider.requestProviderManager,readall,9,4,FALSE,
1,,0,0,84,0,0,1,180,AccessRights.personnelManager.drivers.readAll,personnelManager.drivers,readall,20,7,FALSE,
1,,0,0,84,0,0,1,181,AccessRights.personnelManager.shopAndPassenger.readAll,personnelManager.shopAndPassenger,readall,56,7,FALSE,
1,,0,0,84,0,0,1,182,AccessRights.serviceProvider.manageFixedRoute.readAll,serviceProvider.manageFixedRoute,readall,63,6,FALSE,
1,,0,0,84,0,0,1,183,AccessRights.serviceProvider.manageFixedRoute.read,serviceProvider.manageFixedRoute,read,63,6,FALSE,
1,,0,0,84,0,0,1,184,AccessRights.serviceProvider.manageFixedRoute.create,serviceProvider.manageFixedRoute,create,63,6,FALSE,
1,,0,0,84,0,0,1,185,AccessRights.serviceProvider.manageFixedRoute.update,serviceProvider.manageFixedRoute,update,63,6,FALSE,
1,,0,0,84,0,0,1,186,AccessRights.serviceProvider.manageFixedRoute.delete,serviceProvider.manageFixedRoute,delete,63,6,FALSE,
